incident_id,text,disaster_type,latitude,longitude,people_affected,injured,severity
INC00001,Emergency reported near Village B. building has collapsed. people trapped inside house. 51 people are affected. One person is seriously injured.,earthquake,26.155993428306022,91.74972347139766,51,1,critical
INC00002,Emergency reported near Village J. houses are underwater. several families affected. 10 people are affected.,flood,26.1112953770762,91.72304605971281,10,0,high
INC00003,Emergency reported near Village J. road completely blocked by landslide. people are trapped under debris. 89 people are affected. Multiple injured people require medical assistance.,landslide,26.109531693250553,91.7195317260861,89,1,critical
INC00004,Emergency reported near Village A. large amount of debris is blocking the road. small amount of debris reported. 12 people are affected.,landslide,26.147658425631015,91.73773486945831,12,0,moderate
INC00005,Emergency reported near Village E. building has collapsed. people are seriously injured. 33 people are affected. Multiple injured people require medical assistance.,earthquake,26.11906105122813,91.70108512008717,33,1,critical
INC00006,Emergency reported near Village F. water has entered several houses. house is damaged. 34 people are affected. Multiple injured people require medical assistance.,flood,26.189073164614378,91.72906854049286,34,1,high
INC00007,Emergency reported near Village J. building has collapsed. trees fallen on road. 10 people are affected.,earthquake,26.110483924543132,91.71617343951068,10,0,moderate
INC00008,Emergency reported near Village A. building has collapsed. trees fallen on road. 2 people are affected.,earthquake,26.141050164334974,91.73507542494151,2,0,moderate
INC00009,Emergency reported near Village G. several buildings are damaged. rescue assistance required. 15 people are affected.,earthquake,26.097974337759332,91.7606284946652,15,0,high
INC00010,Emergency reported near Village E. houses are underwater. waterlogging reported. 10 people are affected.,flood,26.11818395184896,91.69717539259733,10,0,moderate
INC00011,Emergency reported near Village D. houses are affected by sudden rainfall. serious injuries reported. 54 people are affected. One person is seriously injured.,cloudburst,26.172931297537843,91.77954844739902,54,1,critical
INC00012,Emergency reported near Village D. building has collapsed. minor structural damage. 7 people are affected.,earthquake,26.17013505640938,91.77715050362758,7,0,moderate
INC00013,Emergency reported near Village D. walls have collapsed. local damage reported. 4 people are affected.,earthquake,26.16891123455095,91.78022184517943,4,0,moderate
INC00014,Emergency reported near Village H. vehicles are trapped due to landslide. serious injuries reported. 51 people are affected. Ambulance support is urgently required.,landslide,26.157698012845156,91.7007513960367,51,1,critical
INC00015,Emergency reported near Village J. major landslide reported. several people need help. 13 people are affected.,landslide,26.10879872262016,91.71941661250041,13,0,high
INC00016,Emergency reported near Village B. landslide has trapped people. immediate rescue required. 74 people are affected.,landslide,26.15379658677554,91.75370455636902,74,0,critical
INC00017,Emergency reported near Village G. sudden heavy rainfall reported. multiple houses damaged. 38 people are affected.,cloudburst,26.099973005550524,91.7578845781421,38,0,high
INC00018,Emergency reported near Village I. walls have collapsed. minor structural damage. 2 people are affected.,earthquake,26.181645089824205,91.74755831270006,2,0,moderate
INC00019,Emergency reported near Village C. people are trapped inside a collapsed building. people need evacuation. 37 people are affected.,earthquake,26.130417727190007,91.71608065975224,37,0,high
INC00020,Emergency reported near Village I. vehicles are trapped due to landslide. people need evacuation. 28 people are affected.,landslide,26.177343627902204,91.75039372247174,28,0,high
INC00021,Emergency reported near Village F. road is completely flooded. multiple houses damaged. 28 people are affected.,flood,26.191476933159993,91.73034273656238,28,0,high
INC00022,Emergency reported near Village D. water has entered several houses. local damage reported. 2 people are affected.,flood,26.169768703435224,91.77939779260882,2,0,moderate
INC00023,Emergency reported near Village I. soil has collapsed onto houses. local damage reported. 11 people are affected.,landslide,26.177042956019264,91.7485603115832,11,0,moderate
INC00024,Emergency reported near Village C. heavy rainfall has damaged roads. several families affected. 18 people are affected.,cloudburst,26.12907872245808,91.72211424445244,18,0,high
INC00025,Emergency reported near Village F. sudden heavy rainfall reported. several families affected. 12 people are affected.,cloudburst,26.190687236579137,91.72647391968928,12,0,high
INC00026,Emergency reported near Village F. landslide has blocked the road. people trapped inside house. 95 people are affected.,landslide,26.19064816793879,91.72922983543917,95,0,critical
INC00027,Emergency reported near Village A. people are trapped by flood water. people are seriously injured. 62 people are affected. Ambulance support is urgently required.,flood,26.14314615599939,91.73742335257768,62,1,critical
INC00028,Emergency reported near Village D. roads are flooded after intense rainfall. several people need help. 20 people are affected. One person is seriously injured.,cloudburst,26.172061999044992,91.78186256023824,20,1,high
INC00029,Emergency reported near Village B. multiple houses have been damaged. small amount of debris reported. 7 people are affected.,earthquake,26.153321564953554,91.7493815752483,7,0,moderate
INC00030,Emergency reported near Village A. bridge is submerged. small amount of debris reported. 1 people are affected.,flood,26.14516252686281,91.73815109025423,1,0,moderate
INC00031,Emergency reported near Village B. landslide has trapped people. multiple people require urgent rescue. 88 people are affected. An injured person needs medical help.,landslide,26.15404165152431,91.74962868204668,88,1,critical
INC00032,Emergency reported near Village E. houses are underwater. house is damaged. 33 people are affected.,flood,26.11778733005199,91.69760758675184,33,0,high
INC00033,Emergency reported near Village A. road completely blocked by landslide. small amount of debris reported. 3 people are affected.,landslide,26.146125051644788,91.73891248005714,3,0,moderate
INC00034,Emergency reported near Village H. cloudburst has caused severe flooding. building collapsed. 27 people are affected. Ambulance support is urgently required.,cloudburst,26.159855979756838,91.70200706579578,27,1,critical
INC00035,Emergency reported near Village E. drainage system has overflowed. small amount of debris reported. 5 people are affected.,cloudburst,26.120723272050096,91.69870976049079,5,0,moderate
INC00036,Emergency reported near Village H. earthquake damage reported. people are trapped. 47 people are affected.,earthquake,26.16072279121102,91.70307607313293,47,0,critical
INC00037,Emergency reported near Village A. cloudburst has caused severe flooding. serious injuries reported. 84 people are affected. One person is seriously injured.,cloudburst,26.14442834792178,91.73932928731162,84,1,critical
INC00038,Emergency reported near Village C. people need evacuation due to flooding. people are trapped under debris. 50 people are affected.,flood,26.12476050979182,91.72164380500875,50,0,critical
INC00039,Emergency reported near Village D. people are trapped by flood water. road access is blocked. 10 people are affected.,flood,26.170174094136478,91.77940198529907,10,0,high
INC00040,Emergency reported near Village D. walls have collapsed. minor structural damage. 4 people are affected.,earthquake,26.170183521553074,91.7760248621708,4,0,moderate
INC00041,Emergency reported near Village C. building has collapsed. water level slightly rising. 8 people are affected.,earthquake,26.129560656224324,91.72071422514303,8,0,moderate
INC00042,Emergency reported near Village A. river has overflowed. several families affected. 9 people are affected.,flood,26.147455788089484,91.73516345956345,9,0,high
INC00043,Emergency reported near Village F. rocks and debris are covering the road. minor structural damage. 6 people are affected.,landslide,26.188383012794215,91.72899648591283,6,0,moderate
INC00044,Emergency reported near Village H. people are trapped under debris. minor road damage. 10 people are affected.,earthquake,26.161830804235404,91.70065750221933,10,0,moderate
INC00045,Emergency reported near Village E. people are trapped by flood water. waterlogging reported. 15 people are affected.,flood,26.118940479592467,91.70102653486623,15,0,moderate
INC00046,Emergency reported near Village B. vehicles are trapped due to landslide. minor structural damage. 5 people are affected.,landslide,26.155194155098698,91.75193728998107,5,0,moderate
INC00047,Emergency reported near Village D. soil has collapsed onto houses. minor structural damage. 11 people are affected.,landslide,26.168595893812245,91.77934467570681,11,0,moderate
INC00048,Emergency reported near Village H. road is completely flooded. road access is blocked. 10 people are affected.,flood,26.159215783693735,91.69707297010373,10,0,high
INC00049,Emergency reported near Village A. soil has collapsed onto houses. people need evacuation. 21 people are affected. Ambulance support is urgently required.,landslide,26.14509224055413,91.73672211054436,21,1,high
INC00050,Emergency reported near Village I. bridge is submerged. serious injuries reported. 39 people are affected.,flood,26.180010226913286,91.74953082573325,39,0,critical
INC00051,Emergency reported near Village J. houses are affected by sudden rainfall. road is blocked. 13 people are affected.,cloudburst,26.1071692585159,91.71915870935447,13,0,high
INC00052,Emergency reported near Village A. landslide has blocked the road. trees fallen on road. 11 people are affected.,landslide,26.143814570966946,91.73459544546155,11,0,moderate
INC00053,Emergency reported near Village F. roads are flooded after intense rainfall. waterlogging reported. 10 people are affected.,cloudburst,26.18967742857667,91.73080810171363,10,0,moderate
INC00054,Emergency reported near Village C. major landslide reported. small amount of debris reported. 15 people are affected.,landslide,26.13377237180242,91.72034915562567,15,0,moderate
INC00055,Emergency reported near Village C. several buildings are damaged. small amount of debris reported. 13 people are affected.,earthquake,26.130515100781444,91.71985110816847,13,0,moderate
INC00056,Emergency reported near Village E. flood water is rising rapidly. people are trapped. 68 people are affected. An injured person needs medical help.,flood,26.116162457569402,91.69994697224911,68,1,critical
INC00057,Emergency reported near Village H. landslide has trapped people. road is blocked. 19 people are affected.,landslide,26.160120460419883,91.70492648422497,19,0,high
INC00058,Emergency reported near Village F. houses are underwater. rescue assistance required. 22 people are affected. Multiple injured people require medical assistance.,flood,26.189615278070438,91.73060309468467,22,1,high
INC00059,Emergency reported near Village A. strong earthquake has damaged buildings. immediate rescue required. 42 people are affected. One person is seriously injured.,earthquake,26.14443057646059,91.73386264392475,42,1,critical
INC00060,Emergency reported near Village J. structural damage reported after earthquake. house is damaged. 32 people are affected. An injured person needs medical help.,earthquake,26.11228564562903,91.72150386606538,32,1,high
INC00061,Emergency reported near Village E. houses are affected by sudden rainfall. serious injuries reported. 20 people are affected. Ambulance support is urgently required.,cloudburst,26.12158206389409,91.69818122509041,20,1,critical
INC00062,Emergency reported near Village B. building has collapsed. water level slightly rising. 10 people are affected.,earthquake,26.157805588621873,91.74719629787441,10,0,moderate
INC00063,Emergency reported near Village E. drainage system has overflowed. road access is blocked. 25 people are affected.,cloudburst,26.121173714187602,91.70438091125162,25,0,high
INC00064,Emergency reported near Village C. heavy rainfall has damaged roads. immediate rescue required. 42 people are affected. One person is seriously injured.,cloudburst,26.12801892734974,91.71886740454079,42,1,critical
INC00065,Emergency reported near Village E. flash flooding reported. several people need help. 25 people are affected. An injured person needs medical help.,cloudburst,26.120199302730175,91.69899304869178,25,1,high
INC00066,Emergency reported near Village I. landslide has blocked the road. multiple houses damaged. 10 people are affected.,landslide,26.176898673137867,91.7501371259496,10,0,high
INC00067,Emergency reported near Village D. rocks and debris are covering the road. trees fallen on road. 13 people are affected.,landslide,26.16787539257255,91.78094718486128,13,0,moderate
INC00068,Emergency reported near Village A. heavy rainfall has damaged roads. people are seriously injured. 98 people are affected. An injured person needs medical help.,cloudburst,26.142661151531534,91.73929986881004,98,1,critical
