shelter_id,name,latitude,longitude,capacity
SHELTER_01,Relief Shelter 1,26.112748930089108,91.7141893269994,407
SHELTER_02,Relief Shelter 2,26.151058149424284,91.76192769001648,127
SHELTER_03,Relief Shelter 3,26.11794688947163,91.75387600140395,385
SHELTER_04,Relief Shelter 4,26.11933346631081,91.7186289947761,121
SHELTER_05,Relief Shelter 5,26.188124961162714,91.73995518577163,222
SHELTER_06,Relief Shelter 6,26.19054639441645,91.72207377169629,278
SHELTER_07,Relief Shelter 7,26.10681590549442,91.7086563418482,448
SHELTER_08,Relief Shelter 8,26.160995112411644,91.76060559878091,367
SHELTER_09,Relief Shelter 9,26.11031813249279,91.71838436899529,418
SHELTER_10,Relief Shelter 10,26.17256305492943,91.73709601021402,374
SHELTER_11,Relief Shelter 11,26.125404172328032,91.72829668618301,316
SHELTER_12,Relief Shelter 12,26.125610229304478,91.72831364254476,69
SHELTER_13,Relief Shelter 13,26.09453779584513,91.75481162957179,246
SHELTER_14,Relief Shelter 14,26.145506221108356,91.7413414099076,168
SHELTER_15,Relief Shelter 15,26.112515793826827,91.75543765995393,169
SHELTER_16,Relief Shelter 16,26.10388214936513,91.70156968627049,56
SHELTER_17,Relief Shelter 17,26.105425691624916,91.70699366295251,380
SHELTER_18,Relief Shelter 18,26.15797668915313,91.74786886245907,413
SHELTER_19,Relief Shelter 19,26.1030651220647,91.75105555799813,499
SHELTER_20,Relief Shelter 20,26.159867105303256,91.73682901803245,263
