team_id,latitude,longitude,available,equipment
TEAM_01,26.14798286247667,91.73903323592535,1,"heavy_equipment,boat"
TEAM_02,26.135134801541945,91.74199584221763,0,"ambulance,heavy_equipment,boat"
TEAM_03,26.145099173244233,91.6934581567424,1,heavy_equipment
TEAM_04,26.135009121871022,91.76558626516963,1,"boat,helicopter"
TEAM_05,26.127684505060547,91.74166884034817,1,"medical_kit,heavy_equipment"
TEAM_06,26.152529499265196,91.74068098213351,0,"helicopter,heavy_equipment,boat"
TEAM_07,26.12413772305719,91.70953649964312,0,"boat,medical_kit,heavy_equipment,rescue_vehicle"
TEAM_08,26.175229715738972,91.77928485990728,1,medical_kit
TEAM_09,26.106607296845148,91.68483141583492,0,"heavy_equipment,medical_kit,boat"
TEAM_10,26.090412962708566,91.77820967225267,0,"heavy_equipment,rescue_vehicle,helicopter,medical_kit"
TEAM_11,26.15213277918011,91.72204989147309,0,heavy_equipment
TEAM_12,26.191489427962413,91.72663679628171,1,rescue_vehicle
TEAM_13,26.145655146516905,91.76375179057607,1,"rescue_vehicle,helicopter"
TEAM_14,26.17873576393897,91.6910658091416,1,"rescue_vehicle,boat"
TEAM_15,26.129171616215753,91.7155013369929,1,helicopter
TEAM_16,26.185797609251352,91.7418590825543,0,"ambulance,medical_kit"
TEAM_17,26.14688038454634,91.70466469690936,1,"boat,heavy_equipment,medical_kit,helicopter"
TEAM_18,26.12728238107306,91.69857848826399,1,"boat,rescue_vehicle,ambulance"
TEAM_19,26.168930678269867,91.70147651840537,1,"ambulance,heavy_equipment,boat,rescue_vehicle"
TEAM_20,26.202171299211564,91.71477794695075,0,"heavy_equipment,ambulance,medical_kit"
TEAM_21,26.14101224738993,91.73548186857148,0,"ambulance,boat,heavy_equipment,rescue_vehicle"
TEAM_22,26.117777926155288,91.72534047266421,0,"heavy_equipment,boat"
TEAM_23,26.136364007456415,91.74568205994824,0,"ambulance,rescue_vehicle,heavy_equipment,medical_kit"
TEAM_24,26.172931566536853,91.74181921012693,1,ambulance
TEAM_25,26.108174857806564,91.74382089354211,1,"rescue_vehicle,boat,heavy_equipment,helicopter"
